"last","first","middle","TITLE","ORCID"
"Ford","Máire",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Fryberger","Emily",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Garinther","Alexander",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Gawryluk","Katarzyna",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Ashbaugh","Kayla",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Giacomantonio","Mauro",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Giessner","Steffen","R.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Guadagno","Rosanna","E.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Hałasa","Ewa",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Hancock","Peter","J. B.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Hilliard","Rias","A.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Hüffmeier","Joachim",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Hughes","Sean",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Idzikowska","Katarzyna",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Jern","Alan",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Jiménez-Leal","William",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Kauff","Mathias",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Kessinger","Grecia",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Kidwell","Mallory","C.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Kimbrough","Amanda","M.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"King","Josiah","P. J.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Kolb","Vanessa","S.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Kołodziej","Sabina",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Krasuska","Karolina",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Kraus","Sue",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Kuchno","Katarzyna",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Lage","Caio","Ambrosio","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Langford","Eleanor","V.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"de Lima","Tiago","Jessé Souza","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Loy","Jia","E.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Markiewicz","Łukasz",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Menon","Madhavi",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Mercier","Brett",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Metzger","Mitchell",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Meyet","Venus",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Millen","Ailsa","E.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Montealegre","Andres",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Moore","Don","A.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Muda","Rafał",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Nichols","Austin","Lee","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Novak","Sarah","A.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Nunnally","Christian",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Orlić","Ana",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Palinkas","Anna",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Panno","Angelo",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Parks","Kimberly","P.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Pedović","Ivana",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Pękala","Emilian",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Penner","Matthew","R.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Petrović","Boban",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Pieńkosz","Damian",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Preti","Emanuele",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Purić","Danka",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Ramos","Tiago",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Ravid","Jonathan",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Razza","Timothy","S.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Rentzsch","Katrin",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Richetin","Juliette",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
