"title","author","journal","number","cites","year","cid","pubid","scholar"
"why you may be close but you are not  effects of perceptual fluency on social distance","KA Woltin, O Corneille, V Yzerbyt","","1st joint BAPS (Belgian Association for Psychological Sciences)/SPEX Meeting",0,2012,NA,"vDijr-p_gm4C","XtQdbDIAAAAJ"
"lorsqu on ne voit pas le monde avec les yeux d autrui  le traitement d information détaillé diminue la prise de perspective  when one does not see the world with the others  ","KA Woltin, V Yzerbyt, O Corneille, J Förster","","9th International Colloquium of Social Psychology in French Language",0,2012,NA,"epqYDVWIO7EC","XtQdbDIAAAAJ"
"feeling who i am is telling who you are  ease of retrieving autobiographical memories influences judgments about others","KA Woltin, O Corneille, V Yzerbyt","","54th Tagung experimentell arbeitender Psychologen [Conference of …",0,2012,NA,"ipzZ9siozwsC","XtQdbDIAAAAJ"
"die welt  nicht  aus anderen augen wahrnehmen  der einfluss detail orientierter vs  holistischer verarbeitung auf perspektivenübernahme   not  seeing the world through the  ","KA Woltin, V Yzerbyt, O Corneille","","13th Meeting of the Section Social Psychology [Fachgruppentagung …",0,2011,NA,"ML0RJ9NH7IQC","XtQdbDIAAAAJ"
"the role of facial trustworthiness in evaluative effects of attention perception","E Treinen, O Corneille","","13th European Social Cognition Network Transfer of Knowledge Conference",0,2011,NA,"Z5m8FVwuT1cC","XtQdbDIAAAAJ"
"going with the flow  cognitive fluency enhances social projection","KA Woltin, V Yzerbyt, O Corneille","","16th General Meeting of the European Association of Social Psychology (EASP)",0,2011,NA,"BUYA1_V_uYcC","XtQdbDIAAAAJ"
"sight unseen  the role of perceived trustworthiness in mimetic desires","E Treinen, O Corneille","","16th General Meeting of the European Association of Social Psychology",0,2011,NA,"URolC5Kub84C","XtQdbDIAAAAJ"
"the role of perceived trustworthiness in mimetic desires","E Treinen, O Corneille","Annual Meeting of the Belgian Society for Psychological Science","",0,2011,NA,"SP6oXDckpogC","XtQdbDIAAAAJ"
"eye m lovin it  the role of gazing awareness in evaluative effects of joint attention","E Treinen, C Bry, O Corneille, V Yzerbyt","","12th European Social Cognition Network Transfer of Knowledge Conference",0,2010,NA,"AvfA0Oy_GE0C","XtQdbDIAAAAJ"
"feeling along facilitated  the influence of mindsets on empathy","KA Woltin, V Yzerbyt, O Corneille","ESCON","N2 Transfer of Knowledge Conference",0,2010,NA,"EkHepimYqZsC","XtQdbDIAAAAJ"
"chapitre 1  la projection  le monde comme reflet de nos évaluations","O Corneille","PSY-Individus, groupes, culture","15-30",0,2010,NA,"fPk4N6BV_jEC","XtQdbDIAAAAJ"
"chapitre 7  les normes  autrui et la constitution de nos préférences","O Corneille","PSY-Individus, groupes, culture","139-164",0,2010,NA,"u_35RYKgDlwC","XtQdbDIAAAAJ"
"chapitre 4  le conditionnement  modifier nos évaluations par simple association","O Corneille","PSY-Individus, groupes, culture","75-89",0,2010,NA,"zA6iFVUQeVQC","XtQdbDIAAAAJ"
"chapitre 3  la fluidité perceptive  une préférence généralisée pour les stimuli familiers","O Corneille","PSY-Individus, groupes, culture","61-74",0,2010,NA,"rO6llkc54NcC","XtQdbDIAAAAJ"
"chapitre 5  l amorçage comportemental  quand notre perception commande nos actions","O Corneille","PSY-Individus, groupes, culture","91-108",0,2010,NA,"ZHo1McVdvXMC","XtQdbDIAAAAJ"
"chapitre 8  approche implicite et explicite du phénomène évaluatif  des évaluations inaccessibles à notre conscience ","O Corneille","PSY-Individus, groupes, culture","165-183",0,2010,NA,"SeFeTyx0c_EC","XtQdbDIAAAAJ"
"un dernier mot  plus personnel   ","O Corneille","PSY-Individus, groupes, culture","185-186",0,2010,NA,"HoB7MX3m0LUC","XtQdbDIAAAAJ"
"chapitre 6  le comportement  des changements évaluatifs issus de conduites problématiques","O Corneille","PSY-Individus, groupes, culture","109-137",0,2010,NA,"pqnbT2bcN3wC","XtQdbDIAAAAJ"
"excitation transfer in decision making  does transferred arousal increase deviation from rational choice ","D Kuester, O Corneille, P Philippot","Psychophysiology","46, S123-S123",0,2009,NA,"z_wVstp3MssC","XtQdbDIAAAAJ"
"the projection of motivational orientations  the case of regulatory focus","KA Woltin, V Yzerbyt, O Corneille","ESCON","N2 Transfer of Knowledge Conference",0,2009,NA,"4MWp96NkSFoC","XtQdbDIAAAAJ"
"another look at the new look  the moderating impact of stereotypic beliefs on the delboeuf illusion","G Boccato, V Yzerbyt, O Corneille","TPM-Testing, Psychometrics, Methodology in Applied Psychology","",0,2007,NA,"VOx2b1Wkg3QC","XtQdbDIAAAAJ"
"is alexithymia affected by situational stress or is it a stable trait related to emotion regulation ","N Vermeulen, O Luminet, O Corneille","Cognition and Emotion","20 (1)",0,2006,NA,"f2IySw72cVMC","XtQdbDIAAAAJ"
"the fundamentality of group principles and perceived group entitativity","JP Forgas, SM Laham, PA Siegel, J Scillitoe, J Huart, O Corneille, ...","Journal of Experimental Social Psychology","41 (6)",0,2005,NA,"dshw04ExmUIC","XtQdbDIAAAAJ"
"the effect of university roommate contact on ethnic attitudes and behavior","CM Brendl, AB Markman, K Ehrenberg, KC Klauer, N Tal-Or, M Philosoph, ...","Journal of Experimental Social Psychology","41 (4)",0,2005,NA,"KxtntwgDAa4C","XtQdbDIAAAAJ"
"essentialism and entitativity","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","60-72",0,2004,NA,"Hck25ST_3aIC","XtQdbDIAAAAJ"
"dynamic entitativity","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","32-42",0,2004,NA,"UuEBAcK4md4C","XtQdbDIAAAAJ"
"the maintenance of entitativity","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","281-295",0,2004,NA,"DrR-2ekChdkC","XtQdbDIAAAAJ"
"group size  outcome dependency  and power","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","179-190",0,2004,NA,"TlpoogIpr_IC","XtQdbDIAAAAJ"
"perceiving the groupness of groups","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","43-59",0,2004,NA,"SnGPuo6Feq8C","XtQdbDIAAAAJ"
"social identity as the basis of group entitativity","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","249-261",0,2004,NA,"69ZgNCALVd0C","XtQdbDIAAAAJ"
"components of homogeneity","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","123-133",0,2004,NA,"mWEH9CqjF64C","XtQdbDIAAAAJ"
"forming stereotypes of entitative groups","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","134-147",0,2004,NA,"QUX0mv85b1cC","XtQdbDIAAAAJ"
"uncertainty and extremism","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","311-323",0,2004,NA,"rTD5ala9j4wC","XtQdbDIAAAAJ"
"culture  communication  and entitativity","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","206-218",0,2004,NA,"pS0ncopqnHgC","XtQdbDIAAAAJ"
"from basketball to business","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","148-165",0,2004,NA,"eO3_k5sD8BwC","XtQdbDIAAAAJ"
"entitativity and social integration","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","324-338",0,2004,NA,"DkZNVXde3BIC","XtQdbDIAAAAJ"
"the mental representation of social categories","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","73-89",0,2004,NA,"SGW5VrABaM0C","XtQdbDIAAAAJ"
"entitativity  group distinctiveness  and social identity","V Yzerbyt, CM Judd, O Corneille","The Psychology of Group Perception","232-248",0,2004,NA,"An6A6Jpfc1oC","XtQdbDIAAAAJ"
"the psychology of group perception","O Corneille, V Yzerbyt, CM Judd","","",0,2004,NA,"ubry08Y2EpUC","XtQdbDIAAAAJ"
"acknowledgment  guest reviewers","H Abdi, F Adams, S Ainsworth, E Altmann, R Aslin, R Aunger, ...","Cognitive Science","28",0,2004,NA,"abG-DnoFyZgC","XtQdbDIAAAAJ"
"stereotyped beliefs about groups  from","O Corneille, V Yzerbyt","Stereotypes as Explanations: The Formation of Meaningful Beliefs about …","",0,2002,NA,"isU91gLudPYC","XtQdbDIAAAAJ"
"don t prime hawks with doves","D Smeesters, L Warlop, E Van Avermaet, O Corneille, V Yzerbyt","","31th Annual European Marketing Academy (EMAC) Conference on'Marketing in a …",0,2002,NA,"ldfaerwXgEUC","XtQdbDIAAAAJ"
"a sneaky way of selling brotherhood to some","D Smeesters, L Warlop, E Van Avermaet, V Yzerbyt, O Corneille","Proceedings of the","31th Annual European Marketing Academy (EMAC) Conference …",0,2002,NA,"k_IJM867U9cC","XtQdbDIAAAAJ"
"gender out group homogeneity  the roles of differential familiarity  group status  and group size","M Rubin, M Hewstone, R Crisp, A Voci, Z Richards, V Yzerbyt, O Corneille, ...","The Psychology of Group Perception: Contributions to the study of …","",0,2001,NA,"JTqpx9DYBaYC","XtQdbDIAAAAJ"
"cognition et pratiques sociales","O Corneille","","",0,2001,NA,"2KloaMYe4IUC","XtQdbDIAAAAJ"
"les modèles séquentiels de l inférence causale","O Corneille","","",0,1997,NA,"35r97b3x0nAC","XtQdbDIAAAAJ"
"the role of applicability in the emergence of the overattribution bias","V Yzerbyt, O Corneille","Journal of Personality and Social Psychology","70 (2), 219-229",0,1996,NA,"eAlLMO4JVmQC","XtQdbDIAAAAJ"
"catégories  catégories sociales et essentialisme psychologique","O Corneille, JP Leyens","","",0,1994,NA,"tzM49s52ZIMC","XtQdbDIAAAAJ"
"les croyances compensatoires de santé et les attitudes alimentaires  existe t il une relation entre ces croyances et une attitude plus favorable envers la junk food ","H Ury, O Corneille, C Vermeulen","","",0,NA,NA,"jFemdcug13IC","XtQdbDIAAAAJ"
"right wing authoritarianism predicts weakened attitude change in an evaluative counter conditioning paradigm","A Bret, A Mierop, B Beffara, M Mermillod, O Corneille","","",0,NA,NA,"CdxZDUztZiMC","XtQdbDIAAAAJ"
"revisiter l hypothèse de la primauté affective  un examen critique du rôle du jugement dans la catégorisation sémantique et affective","F Vaessen, O Corneille","","",0,NA,NA,"MhiOAD_qIWkC","XtQdbDIAAAAJ"
"analyse du lien entre les croyances compensatoires et les attitudes alimentaires par mesure indirecte","Q Tinant, O Corneille, C Vermeulen","","",0,NA,NA,"MpfHP-DdYjUC","XtQdbDIAAAAJ"
"croyances compensatoires et dimension affective de l attitude du consommateur  mesure indirecte du lien via un iat","M Mentior, O Corneille, C Vermeulen","","",0,NA,NA,"LdasjJ6CEcoC","XtQdbDIAAAAJ"
"peut on former des attitudes de manière incontrôlable  un examen empirique du rôle des instructions de contrôle dans le conditionnement évaluatif ","R Wüst, S Thomé, O Corneille, A Mierop","","",0,NA,NA,"kVjdVfd2voEC","XtQdbDIAAAAJ"
"pierrick gomez  carolina oc werle  ","O Corneille","","",0,NA,NA,"43bX7VzcjpAC","XtQdbDIAAAAJ"
"informational risk taking  a regulatory focus approach","P Biefnot, O Corneille","","",0,NA,NA,"1lhNe0rCu4AC","XtQdbDIAAAAJ"
"étude de la faisabilité de la création d une marque de prêt à porter promouvant le street art et défiant la fast fashion","G Gruselle, C Hamal, K Delvaille, O Corneille, P Marion","","",0,NA,NA,"ALROH1vI_8AC","XtQdbDIAAAAJ"
"impact de l aisance mémorielle sur les comportements alimentaires par le biais des croyances compensatoires","J Bouchat, O Corneille, C Vermeulen","","",0,NA,NA,"otzGkya1bYkC","XtQdbDIAAAAJ"
"mes opinions me poussent elles à généraliser  autoritarisme et propagation des attitudes au travers du conditionnement évaluatif","S Laurant, O Corneille, A Mierop","","",0,NA,NA,"wMgC3FpKEyYC","XtQdbDIAAAAJ"
"le lien entre les croyances compensatoires de santé et l impulsivité","A Degreef, O Corneille, C Vermeulen","","",0,NA,NA,"QD3KBmkZPeQC","XtQdbDIAAAAJ"
"amorçage et consommation  impact d une odeur sur le comportement alimentaire","P Nuncic, O Corneille, C Vermeulen","","",0,NA,NA,"4xDN1ZYqzskC","XtQdbDIAAAAJ"
"la relation entre alexithymie et exactitude intéroceptive  une approche par l invalidation des mesures","O Desmedt, O Luminet, O Corneille","","",0,NA,NA,"uDGL6kOW6j0C","XtQdbDIAAAAJ"
"approche psychosociale du comportement alimentaire  le rôle implicite des odeurs environnantes dans les préférences et conduites alimentaires  l influence de l odeur de fruit  ","S Depelchin, O Corneille, C Vermeulen","","",0,NA,NA,"NyGDZy8z5eUC","XtQdbDIAAAAJ"
"impact de la similarité interpersonnelle ainsi que du type de communication sur l illusion de transparence","C Capozza, C Toma, O Corneille","","",0,NA,NA,"0CzhzZyukY4C","XtQdbDIAAAAJ"
"ennui et choix informationnel","M Billuart, L De Meester, O Corneille","","",0,NA,NA,"4X0JR2_MtJMC","XtQdbDIAAAAJ"
"etude exploratoire sur l outrage moral en réaction aux taboo trade offs et le matérialisme","T De Maertelaere, O Corneille","","",0,NA,NA,"Aul-kAQHnToC","XtQdbDIAAAAJ"
"faire le bien pour faire le mal  examen du phénomène de licence morale au travers d une perspective stratégique d acquisition de crédits moraux","M De Wilde, O Corneille","","",0,NA,NA,"P7Ujq4OLJYoC","XtQdbDIAAAAJ"
"similarité perçue et illusion de transparence  quand la similarité interpersonnelle amène à des conflits","M François, C Toma, O Corneille","","",0,NA,NA,"OP4eGU-M3BUC","XtQdbDIAAAAJ"
"require producing evaluative responses during extinction training  manuscript in revision  cognition and emotion ","A Mierop, M Molet, O Corneille",""" How associative is evaluative conditioning? An empirical investigation at …","",0,NA,NA,"a3BOlSfXSfwC","XtQdbDIAAAAJ"
"valeur perçue de l argent  effet de contagion morale et rôle de la tendance au matérialisme","C Wuidar, O Corneille","","",0,NA,NA,"r_AWSJRzSzQC","XtQdbDIAAAAJ"
"précarité et obésité  l influence du standing du supermarché sur les choix alimentaires sains et malsains  le rôle médiateur de l agréabilité","A Herinckx, O Corneille","","",0,NA,NA,"OR75R8vi5nAC","XtQdbDIAAAAJ"
"de la vertu à la corruption  du rôle de l autorégulation morale dans les taboo trade offs","M Parmentier, O Corneille","","",0,NA,NA,"OcBU2YAGkTUC","XtQdbDIAAAAJ"
"la perception de transparence dans le couple  développement d une échelle mesurant la perception de transparence conjugale et étude de son lien avec le vécu relationnel","S d'Udekem d'Acoz, O Corneille, C Toma","","",0,NA,NA,"yFnVuubrUp4C","XtQdbDIAAAAJ"
"les personnes narcissiques ont elles l impression d être plus transparentes que les autres  illusion de transparence et narcissisme","M Jaspers, C Toma, O Corneille","","",0,NA,NA,"bKqednn6t2AC","XtQdbDIAAAAJ"
"abeles  rp  1976   relative deprivation  rising expectations and black militancy  journal of social issues  32  119 137  abrams  d  1990   political identity  relative  ","D Abrams, JM Marques, G Randsley de Moura, P Hutchison, NJ Bown, ...","Psychology","2, 267-29",0,NA,NA,"HtS1dXgVpQUC","XtQdbDIAAAAJ"
"is simpler really better  influence of simplifying nutrition related tasks on food evaluations and intentions to purchase and consume food products","J Vandenbosch, O Corneille","","",0,NA,NA,"mNrWkgRL2YcC","XtQdbDIAAAAJ"
"le conditionnement évaluatif ne m atteint pas  je suis psychopathe  application du conditionnement évaluatif à des personnes ayant des traits de psychopathie","AS Puffet, O Corneille, A Mierop","","",0,NA,NA,"QYdC8u9Cj1oC","XtQdbDIAAAAJ"
"  l impact négatif du manque d autonomie sur le sentiment d auto déshumanisation mécaniste du travailleur et l effet de modération par la motivation à s  engager dans la tâche","K Afzalian, O Corneille, S Demoulin","","",0,NA,NA,"9c2xU6iGI7YC","XtQdbDIAAAAJ"
